max_votos,seccion_id,agrupacion_nombre,seccion_nombre
81989,1,JUNTOS POR EL CAMBIO,Capital
20600,2,UNION POR LA PATRIA,Goya
8324,3,JUNTOS POR EL CAMBIO,Curuzú Cuatiá
8487,4,LA LIBERTAD AVANZA,Mercedes
7562,5,UNION POR LA PATRIA,Esquina
8464,6,UNION POR LA PATRIA,Lavalle
12714,7,LA LIBERTAD AVANZA,Santo Tomé
11136,8,UNION POR LA PATRIA,Paso de los Libres
7544,9,UNION POR LA PATRIA,Monte Caseros
5714,10,JUNTOS POR EL CAMBIO,San Luis del Palmar
8434,11,UNION POR LA PATRIA,Bella Vista
3387,12,UNION POR LA PATRIA,Empedrado
5145,13,UNION POR LA PATRIA,San Roque
3681,14,JUNTOS POR EL CAMBIO,General Paz
5985,15,UNION POR LA PATRIA,Saladas
2647,16,JUNTOS POR EL CAMBIO,San Martín
4724,17,UNION POR LA PATRIA,Concepción
2935,18,UNION POR LA PATRIA,Mburucuyá
9233,19,JUNTOS POR EL CAMBIO,Ituzaingó
2115,20,UNION POR LA PATRIA,Sauce
7687,21,JUNTOS POR EL CAMBIO,San Cosme
1639,22,JUNTOS POR EL CAMBIO,General Alvear
3400,23,UNION POR LA PATRIA,San Miguel
2867,24,JUNTOS POR EL CAMBIO,Itatí
783,25,JUNTOS POR EL CAMBIO,Berón de Astrada