seccion_id,seccion_nombre,agrupacion_nombre,max_votos
1,Capital,LA LIBERTAD AVANZA,52122
2,Sanagasta,UNION POR LA PATRIA,1458
3,Castro Barros,UNION POR LA PATRIA,2326
4,Arauco,UNION POR LA PATRIA,4503
5,San Blas de los Sauces,UNION POR LA PATRIA,1408
6,Chilecito,LA LIBERTAD AVANZA,14366
7,Famatina,UNION POR LA PATRIA,2157
8,Coronel Felipe Varela,UNION POR LA PATRIA,3715
9,General Lamadrid,UNION POR LA PATRIA,897
10,Vinchina,UNION POR LA PATRIA,992
11,Independencia,UNION POR LA PATRIA,1278
12,Chamical,UNION POR LA PATRIA,4181
13,Ángel Vicente Peñaloza,UNION POR LA PATRIA,1219
14,General Belgrano,UNION POR LA PATRIA,2105
15,General Juan Facundo Quiroga,UNION POR LA PATRIA,1277
16,General Ortiz de Ocampo,UNION POR LA PATRIA,3222
17,Rosario Vera Peñaloza,UNION POR LA PATRIA,5112
18,General San Martín,UNION POR LA PATRIA,1805