max_votos,seccion_nombre,agrupacion_nombre,seccion_id
13489,Adolfo Alsina,LA LIBERTAD AVANZA,1
1329,Conesa,LA LIBERTAD AVANZA,2
6924,San Antonio,LA LIBERTAD AVANZA,3
690,Valcheta,LA LIBERTAD AVANZA,4
818,9 de Julio,UNION POR LA PATRIA,5
2332,25 de Mayo,UNION POR LA PATRIA,6
280,Ã‘orquinco,UNION POR LA PATRIA,7
1553,Pilcaniyeu,UNION POR LA PATRIA,8
25092,Bariloche,LA LIBERTAD AVANZA,9
3289,Pichi Mahuida,LA LIBERTAD AVANZA,10
8253,Avellaneda,LA LIBERTAD AVANZA,11
84772,General Roca,LA LIBERTAD AVANZA,12
699,El Cuy,UNION POR LA PATRIA,13